,text,labels
83,"for 340, why do you predict it?",O B-id O O O O O
84,can you tell me how many data points is the model predicting incorrectly?,O O O O O O O O O O O O O
85,what does the data look like?,O O O O O O
86,can you show me the ppv score on the developement data?,O O O O O B-metric O O O B-data_type O
87,please list all cases that contain the token photocopies.,O O O O O O O O B-includetoken
88,how many data points have What time in it,O O O O O B-includetoken I-includetoken O O
89,"for the nurse administer, what are the nine most important features for the model's predictions?",O B-includetoken I-includetoken I-includetoken O O O O O O O O O O O
90,can you give me all the cases that incorporate the phrase the steak?,O O O O O O O O O O O B-includetoken I-includetoken
91,please give me 2 examples that are similar to id 196.,O O O B-number O O O O O O B-id
92,what is the prediction for id 115 and why do you predict it?,O O O O O O B-id O O O O O O
93,what set of factors do you take into consideration when determining if instances with the nurse administer are directive,O O O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken O B-class_names
94,"are there any instances with ""the saying""?",O O O O O B-includetoken I-includetoken
95,most important features for predictions,O O O O O
96,what about counterfactuals for id 446.,O O O O O B-id
97,what is the resulting label for id 898?,O O O O O O O B-id
98,please provide me with all examples that involve the token Flies.,O O O O O O O O O O B-includetoken
99,what's the idea?,O O O
100,can you show me the prec on the test data?,O O O O O B-metric O O B-data_type O
101,tell me what the model and data are,O O O O O O O O
102,can you give me all the cases that incorporate the phrase increases?,O O O O O O O O O O O B-includetoken
103,show me more examples that resemble 443.,O O O O O O B-id
104,what instances are almost like id 564?,O O O O O O B-id
105,what's the number of instances with the nearest postoffice,O O O O O O B-includetoken I-includetoken I-includetoken
106,i would like to see all the examples that contain the phrase places.,O O O O O O O O O O O O B-includetoken
107,"for the smart one, could you show me if the model predicts the data correctly for some examples?",O B-includetoken I-includetoken I-includetoken O O O O O O O O O O O O O O
108,please show 6 cfes for id 629.,O O B-number O O O B-id
109,how does id 340 look like?,O O O B-id O O
110,sample mistakes,O O
111,how can you explain the prediction for id 873,O O O O O O O O B-id
112,top 6 keywords,O B-number O
113,i want to see id 251,O O O O O B-id
114,show me top 2 frequent tokens,O O O B-number O O
115,show me a similar data point to id 263.,O O O O O O O O B-id
116,"just on instances with a senior executive, show me the labels?",O O O O B-includetoken I-includetoken I-includetoken O O O O
117,what is the resulting label for instance with is 209?,O O O O O O O O O B-id
118,can you please retrieve an instance that is similar to id 487?,O O O O O O O O O O O B-id
119,how can i ask my questions about the model?,O O O O O O O O O
120,"for id 472, please provide the prediction.",O O B-id O O O O
121,i would like to have a look at id 204,O O O O O O O O O B-id
122,what are you?,O O O
123,"for the data point with id 743, how could we change the prediction, what is the model's rationale, and what does it predict?",O O O O O O B-id O O O O O O O O O O O O O O O O
124,what's the negative predictive value performance of the model on the training data for texts with a picture,O O B-metric I-metric I-metric O O O O O O B-data_type O O O O B-includetoken I-includetoken
125,"for data point id 204, how would i change the prediction?",O O O O B-id O O O O O O
126,show me how to change predictions for 488.,O O O O O O O B-id
127,"do we have ""a commission"" in the data?",O O O B-includetoken I-includetoken O O O
128,what are some mistakes on examples with a must that the model makes,O O O O O O O B-includetoken I-includetoken O O O O
129,what are the 9 most frequent keywords?,O O O B-number O O O
130,what about counterfactuals for id 440.,O O O O O B-id
131,show me data the model gets wrong,O O O O O O O
132,"i want you to tell me the probability of the instance with id 222 being predicted in the ""directive"" class by the model",O O O O O O O O O O O O O B-id O O O O B-class_names O O O O
133,i don't know how to start,O O O O O O
134,deliver a natural language description for id 283,O O O O O O O B-id
135,what are the statistics of the labels like?,O O O O O O O O
136,"what are the instances that have ""a wallet"" included?",O O O O O O B-includetoken I-includetoken O
137,"are there any instances with ""food""?",O O O O O B-includetoken
138,what are some mistakes on parliament examples the model typically makes,O O O O O B-includetoken O O O O O
139,"where does ""a member"" appear?",O O B-includetoken I-includetoken O
140,what are the most important features in the data when reasoning about parliament to make decisions?,O O O O O O O O O O O O B-includetoken O O O
141,most influential feature for data point 488?,O O O O O O B-id
142,can you show me the f 1 score on the evaluation data?,O O O O O B-metric I-metric O O O B-data_type O
143,5 most important features,O O O O
144,what's the likelihood of 0?,O O O O B-class_names
145,need to see id 114,O O O O B-id
146,how are the classes distributed for the samples with Time?,O O O O O O O O O I-includetoken
147,show me how to make the model output a different prediction for instance 509.,O O O O O O O O O O O O O B-id
148,what are the sentences that include your flight number?,O O O O O O B-includetoken I-includetoken I-includetoken
149,feature importances,O O
150,please show id 312,O O O B-id
151,"can you display all occurrences that contain word ""any night tours"".",O O O O O O O O B-includetoken I-includetoken I-includetoken
152,how many data points are there?,O O O O O O
153,what's the most important feature for data point 85?,O O O O O O O O B-id
154,what are the top 2 most important features,O O O O O O O O
155,what do you predict for 147?,O O O O O B-id
156,what is the model behind this?,O O O O O O
157,show me how to make the model output a different prediction for id 208.,O O O O O O O O O O O O O B-id
158,how can i check my model with this?,O O O O O O O O
159,what's the data,O O O
160,"for trouble, what is the distribution of the label?",O B-includetoken O O O O O O O
161,how do i change the prediction for the data point with the id number 488?,O O O O O O O O O O O O O O B-id
162,"for my keys, what are the ground truth labels",O B-includetoken I-includetoken O O O O O O
163,show the prediction for id eight hundred and forty-four please.,O O O O O B-id I-id I-id I-id O
164,show me how to make the model output a different prediction for id 670.,O O O O O O O O O O O O O B-id
165,explain id 645 with rationale,O O B-id O O
166,how can we interact?,O O O O
167,what is the resulting label for id 987?,O O O O O O O B-id
168,tell me how many instances in the data include Time,O O O O O O O O O I-includetoken
169,give an overview of the data.,O O O O O O
170,parliament return incorrect predictions,B-includetoken O O O
171,could you show me some data the model predicts incorrectly?,O O O O O O O O O O
172,can you show me the acc on the data?,O O O O O B-metric O O O
173,what are the reasoning strategies you leverage?,O O O O O O O
174,i want to see all the cases that contain the span the rooms.,O O O O O O O O O O O B-includetoken I-includetoken
175,what about id 312?,O O O B-id
176,what set of factors do you leverage on texts including the change to figure out if they are 1?,O O O O O O O O O O B-includetoken I-includetoken O O O O O O B-class_names
177,5 most important features,O O O O
178,what is this app about?,O O O O O
179,need an explanation for this,O O O O O
180,what are the model's predictions for 196?,O O O O O O B-id
181,how do you decide whether some text is commissive,O O O O O O O O B-class_names
182,please tell moe more about the data,O O O O O O O
183,what are the top 2 influential features for ids eight hundred and fifty-six and 564,O O O O B-number O O O O B-id I-id I-id I-id O B-id
184,likelihood for offensive to be predicted?,O O B-class_names O O O
185,can you please retrieve an example that is analogous to id 114?,O O O O O O O O O O O B-id
186,show me all instances that include the word a man.,O O O O O O O O B-includetoken I-includetoken
187,any suggestion on what i can do?,O O O O O O O
188,how many instances did that consider?,O O O O O O
189,please provide the 7 most critical features for data point 605,O O O B-number O O O O O O B-id
190,show me top 6 frequent tokens,O O O B-number O O
191,show me id one hundred and forty-nine please,O O O B-id I-id I-id I-id O
192,testing sensitivity please,O B-metric O
193,show common keywords,O O O
194,give me a list of all examples that include the token increases.,O O O O O O O O O O O B-includetoken
195,show me all cases that involve the term Many ads.,O O O O O O O O B-includetoken I-includetoken
196,what does the model predict on all the training data,O O O O O O O O O O
197,top 9 features affecting the predictions for ids 446 and 114,O B-number O O O O O O B-id O B-id
198,show me how to flip predictions for 520.,O O O O O O O B-id
199,show prediction of id 706,O O O O B-id
200,what instances are similar to 362?,O O O O O B-id
201,"in those situations where the field is included, what are the strategies you use to figure out if the correct prediction is question",O O O O B-includetoken I-includetoken O O O O O O O O O O O O O O O O B-class_names
202,what set of factors do you leverage on texts including a replacement to figure out if they are offensive?,O O O O O O O O O O B-includetoken I-includetoken O O O O O O B-class_names
203,what are the main characteristics of the model?,O O O O O O O O
204,what are the samples that include prizes in the data?,O O O O O O B-includetoken O O O
205,show me all instances that include the word Flies.,O O O O O O O O B-includetoken
206,can you show me how many data the model predicts incorrectly?,O O O O O O O O O O O
207,why do you predict instance eighty-two?,O O O O O B-id
208,how many instances did that consider?,O O O O O O
209,i don't know how to start,O O O O O O
210,display id 516 please,O O B-id O
211,display instances,O O
212,hmm... i was wondering what it would take to flip the prediction of instance with id 240?,O O O O O O O O O O O O O O O O B-id
213,describe the model and data,O O O O O
214,can you please retrieve an example that is analogous to id 487?,O O O O O O O O O O O B-id
215,what are some common mistakes you make for texts which include the steak?,O O O O O O O O O O O B-includetoken I-includetoken
216,how would you flip the prediction for id 759?,O O O O O O O O B-id
217,what is the resulting label for instance with is 789?,O O O O O O O O O B-id
218,what is the model's prediction for 957?,O O O O O O B-id
219,show me how to flip model's predictions for 283.,O O O O O O O O B-id
220,show me examples similar to id 229.,O O O O O O B-id
221,clarify the reasoning behind id 706,O O O O O B-id
222,describe data,O O
223,need an explanation for id 283,O O O O O B-id
224,please explain this bot,O O O O
225,please display the prediction of the instance with id 234,O O O O O O O O O B-id
226,i'd like to know what are the ground truth labels,O O O O O O O O O O
227,how would you rationalize this?,O O O O O
228,"for the White House, how well, in terms of roc, does the model do on the evaluation data",O B-includetoken I-includetoken I-includetoken O O O O O B-metric O O O O O O B-data_type O
229,what are the ground truth labels in the data for a delicious dessert,O O O O O O O O O O B-includetoken I-includetoken I-includetoken
230,i would like to see all the examples that contain the phrase the smart one.,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
231,do you have a manual?,O O O O O
232,what's the most important feature for data point 234?,O O O O O O O O B-id
233,what are the most important features for the predictions,O O O O O O O O O
234,what features are the most important?,O O O O O O
235,can you tell me what is being predicted for id 66?,O O O O O O O O O O B-id
236,"probability that id 864 is predicted as ""inform"" from the model",O O O B-id O O O B-class_names O O O
237,what are the similar instances for one hundred and forty-nine?,O O O O O O B-id I-id I-id I-id
238,"can you provide me with all occurrences that comprise word ""a wallet"".",O O O O O O O O O O B-includetoken I-includetoken
239,provide a plain language interpretation for id 440,O O O O O O O B-id
240,how do you decide whether examples with the words the availability will be offensive,O O O O O O O O O B-includetoken I-includetoken O O B-class_names
241,show me all instances that include the span the police.,O O O O O O O O B-includetoken I-includetoken
242,least important features,O O O
243,what 4 features most influence the model's predictions for ids 767 and 789,O B-number O O O O O O O O B-id O B-id
244,show me all instances with a vacation,O O O O O B-includetoken I-includetoken
245,where in the data does the interview appear?,O O O O O B-includetoken I-includetoken O
246,"which sentences have the word ""more than half"" in them?",O O O O O B-includetoken I-includetoken I-includetoken O O
247,display the 42 most important features,O O O O O O
248,how do you figure out if data points are true,O O O O O O O O O B-class_names
249,in what ways do you determine if data will be predicted offensive?,O O O O O O O O O O O B-class_names
250,show me top 1 frequent tokens,O O O B-number O O
251,most critical feature for id 322,O O O O O B-id
252,what is the predicted label for sample id 827?,O O O O O O O O B-id
253,what are the labels for all the data,O O O O O O O O
254,could you show top 7 most important features for the data point 208,O O O O B-number O O O O O O O B-id
255,what are the top 2 influential features for ids 387 and 15,O O O O B-number O O O O B-id O B-id
256,show me all instances that include the word a delicious dessert.,O O O O O O O O B-includetoken I-includetoken I-includetoken
257,what are the gold label frequencies,O O O O O O
258,training positive predictive value please,O B-metric I-metric I-metric O
259,what are the model's predictions for id 66?,O O O O O O O B-id
260,"can you list all the occurrences that involve word ""a senior executive"".",O O O O O O O O O B-includetoken I-includetoken I-includetoken
261,feature importance,O O
262,what's the data,O O O
263,top 3 features influencing the model's prediction on data point 629?,O B-number O O O O O O O O B-id
264,show me the predictions for 789.,O O O O O B-id
265,could you show me some data the model predicts incorrectly?,O O O O O O O O O O
266,please tell moe more about the data,O O O O O O O
267,what is the prediction for id 387 and why do you predict it?,O O O O O O B-id O O O O O O
268,show me how to make the model output a different prediction for id 340.,O O O O O O O O O O O O O B-id
269,number of rows in the data,O O O O O O
270,"show me every example that has word ""All the quotations"".",O O O O O O O B-includetoken I-includetoken I-includetoken
271,what's the model?,O O O
272,show the probability that id 263 is question,O O O O O B-id O B-class_names
273,number of data points,O O O O
274,explain the model's predictions on the data,O O O O O O O
275,what are the key features for data point 827,O O O O O O O O B-id
276,show me all instances that include the span a steady market.,O O O O O O O O B-includetoken I-includetoken I-includetoken
277,show me 4 similar examples to id 755.,O O B-number O O O O B-id
278,what are the frequencies for the labels?,O O O O O O O
279,what are the 4 most relevant features for the model's decision on data point 739?,O O O B-number O O O O O O O O O O B-id
280,features that are not important for predictions,O O O O O O O
281,show the feature importances,O O O O
282,tell me how many items there are in the data,O O O O O O O O O O
283,give me all the occurrences that feature the phrase more than half.,O O O O O O O O O B-includetoken I-includetoken I-includetoken
284,how many instances did that consider?,O O O O O O
285,need an explanation for id 114,O O O O O B-id
286,what set of factors do you take into consideration when determining if texts containing ESL are no hate speeech?,O O O O O O O O O O O O O O B-includetoken O B-class_names I-class_names I-class_names
287,"for those where This machine is part of the input, could you tell me the total number of items in the data",O O O B-includetoken I-includetoken O O O O O O O O O O O O O O O O O
288,tell me the number data the model predicts falsely?,O O O O O O O O O
289,show me the instances that are almost like id two hundred and forty-two,O O O O O O O O O B-id I-id I-id I-id
290,does the model predict the nearest postoffice correctly?,O O O O B-includetoken I-includetoken I-includetoken O
291,i need id 548,O O O B-id
292,what is the model's prediction for id 755?,O O O O O O O B-id
293,what does the model predict for 240?,O O O O O O B-id
294,8 most important features for ids 873 and 670,B-number O O O O O B-id O B-id
295,5 most important features,O O O O
296,please show the top few features for the predictions,O O O O O O O O O
297,what are some mistakes on the change that the model makes,O O O O O B-includetoken I-includetoken O O O O
298,show the prediction for id 755 please.,O O O O O B-id O
299,please provide me with 8 examples that are similar to id two hundred and forty-two.,O O O O B-number O O O O O O B-id I-id I-id I-id
300,what instances are similar to one hundred and forty-seven?,O O O O O B-id I-id I-id I-id
301,could you describe the data and model?,O O O O O O O
302,i would like to see more instances like id 520.,O O O O O O O O O B-id
303,please show me id 477,O O O O B-id
304,most important feature,O O O
305,please show 6 cfes for sample with id 635.,O O B-number O O O O O B-id
306,show me how to make the model output a different prediction for 121.,O O O O O O O O O O O O B-id
307,what are the counterfactual examples for instance eighty-two.,O O O O O O O B-id
308,what are the counterfactual examples for instance 274.,O O O O O O O B-id
309,hmm... i was wondering what it would take to flip the prediction of instance with id 440?,O O O O O O O O O O O O O O O O B-id
310,what's the model?,O O O
311,give information of the cases that contain word your friend.,O O O O O O O O B-includetoken I-includetoken
312,what does instance with id 177 have to do in order to change the prediction?,O O O O O B-id O O O O O O O O O
313,how many data points have some ketchup in it,O O O O O B-includetoken I-includetoken O O
314,display 8 most frequent keywords,O B-number O O O
315,i would like to see more instances like 114.,O O O O O O O O B-id
316,show me 7 similar examples to 121.,O O B-number O O O B-id
317,what are the cfes for id eight hundred and two?,O O O O O O B-id I-id I-id I-id
318,how many items are there in the data?,O O O O O O O O
319,what does the model predict for the instance with id 670?,O O O O O O O O O O B-id
320,tell me what the model is,O O O O O O
321,explain id 472 with rationale,O O B-id O O
322,"9 most important features for id's 819, eight hundred and two, 234",B-number O O O O O B-id B-id I-id I-id I-id B-id
323,how does this work?,O O O O
324,show me how to make the model output a different prediction for instance id 651.,O O O O O O O O O O O O O O B-id
325,how does this work?,O O O O
326,what's your motivation for deciding the predictions of our final confirmation,O O O O O O O O B-includetoken I-includetoken I-includetoken
327,what can you show me?,O O O O O
328,explain my model's prediction for data 387 and then follow up with the rationale for the prediction!,O O O O O O B-id O O O O O O O O O O
329,what does the data look like?,O O O O O O
330,show me the number data the model forecasts inaccurately?,O O O O O O O O O
331,how accurate is the model over all the instances in the data?,O O O O O O O O O O O O
332,show the probability that id 147 is non-offensive,O O O O O B-id O B-class_names
333,what's the acc on the next stop?,O O B-metric O B-includetoken I-includetoken I-includetoken
334,what is the predicted label for sample 177?,O O O O O O O B-id
335,"for id 605, please provide the prediction.",O O B-id O O O O
336,show me how to make the model output a different prediction for 477.,O O O O O O O O O O O O B-id
337,what are some common mistakes you make for texts which include the divorce?,O O O O O O O O O O O B-includetoken I-includetoken
338,what are the functions?,O O O O
339,"i'm a bit lost, what is it?",O O O O O O O
340,could you describe the data a bit more?,O O O O O O O O
341,how does the data look like?,O O O O O O
342,please show two cfes for sample with id 177.,O O B-number O O O O O B-id
343,what's the number of data points that operation took into consideration?,O O O O O O O O O O O
344,show me 10 counterfactual for instance id 322.,O O B-number O O O O B-id
345,"show me all instances that include the word ""any night tours"".",O O O O O O O O B-includetoken I-includetoken I-includetoken
346,what eight features most influence the model's predictions for ids 590 and 605,O B-number O O O O O O O O B-id O B-id
347,what is the prediction for id 209 and why do you predict it?,O O O O O O B-id O O O O O O
348,chances of 1 to be predicted?,O O B-class_names O O O
349,what can you do?,O O O O
350,testing roc please,O B-metric O
351,any rational explanation for this prediction?,O O O O O O
352,total number of training items in the data,O O O O O O O O
353,show me a similar data point to id 979.,O O O O O O O O B-id
354,can you provide me with all occurrences that comprise word the field.,O O O O O O O O O O B-includetoken I-includetoken
355,please explain,O O
356,what are you?,O O O
357,how do you decide whether some text is 1,O O O O O O O O B-class_names
358,what are the 7 most relevant features for the model's decision on data point 446?,O O O B-number O O O O O O O O O O B-id
359,what's the probability of 1?,O O O O B-class_names
360,what's the data,O O O
361,show me all cases with the nurse administer,O O O O O B-includetoken I-includetoken I-includetoken
362,give information of the cases that contain word the rooms.,O O O O O O O O B-includetoken I-includetoken
363,"nine most important features for ids 201, 209, and 873",B-number O O O O O B-id B-id O B-id
364,what about examples that look like 739.,O O O O O O B-id
365,"do we have ""other cultures"" in the data?",O O O B-includetoken I-includetoken O O O
366,what's the chance instance id 664 is scored as false,O O O O O B-id O O O B-class_names
367,what are some mistakes on Class the model typically makes,O O O O O B-includetoken O O O O
368,can you please retrieve an example that is analogous to id 240?,O O O O O O O O O O O B-id
369,"does ""parliament"" appear in the dataset?",O B-includetoken O O O O
370,how can i ask my questions about the model?,O O O O O O O O O
371,what's the idea?,O O O
372,what does the model predict for the instance 204?,O O O O O O O O B-id
373,"can you list all the occurrences that involve word ""a man"".",O O O O O O O O O B-includetoken I-includetoken
374,how would you characterize the mistakes you make on a party?,O O O O O O O O O B-includetoken I-includetoken
375,what about examples that look like id 263.,O O O O O O O B-id
376,give me a list of all examples that include the token the next stop.,O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
377,what are ten most common words here?,O O B-number O O O O
378,display id 516 please,O O B-id O
379,"5 most crucial features for ids 177, 229, and 704",B-number O O O O O B-id B-id O B-id
380,what is the model's prediction for 274?,O O O O O O B-id
381,could you show me more samples similar to 789?,O O O O O O O O B-id
382,what are the features,O O O O
383,what functions are you capable of?,O O O O O O
384,"for a change, what are the ground truth labels",O B-includetoken I-includetoken O O O O O O
385,what are some data points you get incorrect?,O O O O O O O O
386,show me similar examples to id 234.,O O O O O O B-id
387,how would you characterize the mistakes you make on all the data?,O O O O O O O O O O O O
388,what are the instances that have a commission included?,O O O O O O B-includetoken I-includetoken O
389,what are the most important features?,O O O O O O
390,"in those situations where prizes is included, what are the strategies you use to figure out if the correct prediction is no hate speeech",O O O O B-includetoken O O O O O O O O O O O O O O O O B-class_names I-class_names I-class_names
391,i would like to see all the examples that contain the phrase employees.,O O O O O O O O O O O O B-includetoken
392,explain the model's predictions on the data,O O O O O O O
393,what set of reasoning do you use to determine if instances with the availability in them are question,O O O O O O O O O O O O B-includetoken I-includetoken O O O B-class_names
394,i'd like to know about the underlying dataset,O O O O O O O O
395,how often are you correct?,O O O O O
396,please explain,O O
397,i'd like to know the class freqs,O O O O O O O
398,show the prediction for 546 please.,O O O O B-id O
399,"what does my model predict for data 523? next, once you've completed this, could you tell me why the model predicts it?",O O O O O O O B-id O O O O O O O O O O O O O O
400,show the prediction of id one hundred and forty-nine,O O O O O B-id I-id I-id I-id
401,what are the top 3 influential features for ids 85 and 629,O O O O B-number O O O O B-id O B-id
402,"4 most crucial features for ids 92, 461, and 461",B-number O O O O O B-id B-id O B-id
403,i was wondering what are the most important features for instance 706?,O O O O O O O O O O O B-id
404,most significant feature for instance 957,O O O O O B-id
405,what do you predict for 168?,O O O O O B-id
406,what can i do?,O O O O
407,some counterfactuals for id 472.,O O O O B-id
408,what is this app about?,O O O O O
409,what's the probability of directive?,O O O O B-class_names
410,give me all the occurrences that feature the phrase Stefan.,O O O O O O O O O B-includetoken
411,what are counterfactuals for 980.,O O O O B-id
412,tell me what the model and data are,O O O O O O O O
413,what are the frequencies for the labels?,O O O O O O O
414,how frequently do you get it correct?,O O O O O O O
415,show top 1 most frequently occurring tokens in the data,O O B-number O O O O O O O
416,what's the data like and what can you do?,O O O O O O O O O
417,show me id 488 please,O O O B-id O
418,"just on instances with minutes ' time, show me the gold labels?",O O O O B-includetoken I-includetoken I-includetoken O O O O O
419,please provide me with all examples that incorporate the words your prepared contents.,O O O O O O O O O O B-includetoken I-includetoken I-includetoken
420,what are the functions?,O O O O
421,show me all cases that involve the term Class.,O O O O O O O O B-includetoken
422,what are some data points you get incorrect?,O O O O O O O O
423,probability of non-offensive?,O O B-class_names
424,which sentences have the words a cabinet in them?,O O O O O B-includetoken I-includetoken O O
425,show me all occurrences that have the term stand-by.,O O O O O O O O B-includetoken
426,"just on instances with a man, show me the gold labels?",O O O O B-includetoken I-includetoken O O O O O
427,what data points does the model typically predict mistakenly on texts with a super deal?,O O O O O O O O O O O O B-includetoken I-includetoken I-includetoken
428,what are the top 2 most important features,O O O O O O O O
429,what is the datset here?,O O O O O
430,interpret id 667 in plain language,O O B-id O O O
431,explain id 121 with rationale,O O B-id O O
432,what is the predicted label for instance 139?,O O O O O O O B-id
433,please explain this bot,O O O O
434,could you please show me 4 counterfactuals for id 667?,O O O O O B-number O O O B-id
435,most impactful feature for data point 685?,O O O O O O B-id
436,number of rows in the data,O O O O O O
437,i was wondering what are the most important features for instance 520?,O O O O O O O O O O O B-id
438,how do the labels look like?,O O O O O O
439,tell me about the model,O O O O O
440,could you give me 1 examples that are analogous to id 716?,O O O O B-number O O O O O O B-id
441,most important feature for id 591,O O O O O B-id
442,what are the 3 most important features in the texts that include the interview?,O O O O O O O O O O O O B-includetoken I-includetoken
443,what instances are similar to id 115?,O O O O O O B-id
444,nice. i'm pretty satisfied with the prediction of id nine hundred and seventy-seven. but could you tell me how to change the prediction?,O O O O O O O O O B-id I-id I-id I-id O O O O O O O O O O
445,id 461 please,O B-id O
446,return prediction id 546,O O O B-id
447,probability of offensive?,O O B-class_names
448,what are the top five most important features for the models predictions?,O O O O O O O O O O O O
449,how would you rationalize this?,O O O O O
450,show me the predictions for id 755.,O O O O O O B-id
451,"where do we have ""your prepared contents""?",O O O O B-includetoken I-includetoken I-includetoken
452,retrieve 9 examples that are similar to id 446.,O B-number O O O O O O B-id
453,please explain,O O
454,can you display all occurrences that contain word a commission.,O O O O O O O O B-includetoken I-includetoken
455,what's the positive predictive value on this data?,O O B-metric I-metric I-metric O O O
456,which 3 words occur the most in the data?,O B-number O O O O O O O
457,please show the ranking of features by importance,O O O O O O O O
