text,labels
"what does my model predict for data 177? next, once you've completed this, could you tell me why the model predicts it?",15
show prediction of id 340,3
which functions do you have?,9
furnish a justification for id 635,16
what data points does the model typically predict wrongly on texts with an announcement?,13
how do you figure out if texts which mention nine different cockroaches will be question,17
show the predictions across all the instances,3
show me the developement set performance,10
please show id 234,6
please state the number of a delicious dessert in the data,11
"for parliament, what are the nine most important features for the model's predictions?",17
show me the predictions for id 591.,3
show me how to flip model's predictions for 819.,1
probability of hate speech?,7
what are the similar instances for id 208?,2
i would like to see all instances that incorporate the phrase the table.,0
how many data points are there?,11
key features for data point 208,15
what's the reason the model predicts this label for id six hundred and fifteen,16
explain the model's predictions on the data,17
which model processes the data?,8
i would like to see all instances that incorporate word a vacation.,0
how do i change the prediction for the data point with id number 322?,1
show me examples that are similar to id 694.,2
give the accuracy score,10
show me a similar data point to id 772.,2
explain the reasoning and how to flip the predictions for data point id 629,1
any suggestion on what i can do?,9
show me all instances that contain the phrase acute insight.,0
which data does the model use?,5
deliver a natural language description for id 168,16
what's the testing roc for examples including the rooms,10
what are the 3 most important features in the texts that include four dollars?,17
show me the results for id 177.,3
what are the key features for data point 340,15
i'd like to know what are the ground truth labels,12
"for instances that include my keys, what is the distribution of the target variable?",18
most significant feature for instance 115,15
what are the id's of all the items,11
show me ten data points that are analogous to id 325.,2
how many data points have the agent in it,11
show the predictions across all the instances,3
which functions can you perform?,9
what's the idea?,4
what are the main attributes for instance seven hundred and forty-one?,15
what's the number of data points that operation took into consideration?,11
could you show me a data point that is similar to id eight hundred and two?,2
what's your motivation for deciding the predictions of 15 yuan,17
training accuracy please,10
"for other cultures, how many instances in the data are there?",11
tell me how many instances in the data include acute insight,11
which token are the modet frequent in the data?,14
most important feature for id 979,15
i don't understand why the model predicted this label,16
"8 most important features for ids two hundred and forty-two, two hundred and forty-two, and two hundred and forty-two",15
please show id 234,6
what is the final label for id 523?,3
could you show me a few examples with 100 percent chance you get incorrect,13
"can you list all the occurrences that involve word ""stand-by"".",0
how does the dataset look like?,5
what is this about?,9
what methods do you use to come to predict offensive?,17
what shall i do to analyze the model?,9
what does the model predict for the instance with id 234?,3
can you list all the occurrences that involve word the security deposit.,0
display 9 most frequent keywords,14
please provide explanation for id 387,16
show me examples that are similar to id 694.,2
what are counterfactuals for 898.,1
what are the labels for texts with the change,12
i would like to see all the examples that contain the phrase our commission.,0
could you please show me 8 counterfactuals for 312?,1
feature importances,17
what aspects of the data do you consider when reasoning about examples containing the span the rooms to make decisions,17
least important features,17
describe your typical mistakes over the dataset,13
please explain,16
classes for the instances that have a nice office in them?,12
most critical feature for id 605,15
number of data points,11
show me similar examples to two hundred and forty-two.,2
"when a cabinet is in the text, show the distribution of the ground truth values",18
what are the counterfactuals for 234.,1
"when a cabinet is in the text, show the distribution of the ground truth values",18
tell me a bit more about what i can do here,9
what does the model predict for 92?,3
what are some common mistakes you make for texts which include the next step?,13
i need id 115,6
where do we have These documents?,0
describe your typical mistakes over the dataset,13
count the total number of data points,11
what does the model predict for the instance 706?,3
what's the reason the model predicts this label for id six hundred and fifteen,16
what are some typical mistakes on a delicious dessert,13
what are the most important features for the predictions,17
can you show me the rec on the developement data?,10
"can you list all the occurrences that involve word ""stand-by"".",0
what does the model predict for 25?,3
"for the divorce, what is the distribution of the label?",18
which ten words occur the most in the data?,14
show me the data point with id 546,6
please show me all examples that feature word your flight number.,0
"where in the data do we have ""a baby""?",0
tell me a bit more about the data please.,5
give me the sensitivity on the dev data,10
show me examples that are similar to one hundred and forty-seven.,2
what is the model behind this?,8
please show 4 cfes for sample with id 208.,1
how many instances did that consider?,11
"can you provide me with all occurrences that comprise word ""the corner-stone"".",0
shed light on id 651 in simple terms,16
can you please retrieve an example that is analogous to id 322?,2
can you tell me how many data points is the model predicting incorrectly?,13
what is the model behind this?,8
i don't understand why the model predicted this label,16
tell me what the model is,8
show me the six most important features for data point 546,15
what are your functions?,9
show me ten data points that are analogous to id 325.,2
how can i ask my questions about the model?,4
i would like to see more instances like id 229.,2
in what ways do you determine if data will be predicted commissive?,17
what are the features in the data?,5
which model processes the data?,8
i'd like to know about the underlying dataset,5
please show the ranking of features by importance,17
any cakes return incorrect predictions,13
what are some mistakes on the security deposit examples the model typically makes,13
what are the most important features in the data when reasoning about well established channels to make decisions?,17
what instances are similar to 274?,2
what's the model?,8
how many data points are there?,11
"for 234, please show me the values of the features.",6
how many rows are there across all the items in the data,11
tell me a bit more about what i can do here,9
what are the counterfactuals for 234.,1
tell me a bit more about what i can do here,9
show me 1 counterfactual for instance 520.,1
what's the likelihood of offensive?,7
does the model predict texts that include about twenty people correctly?,13
most important features for predictions,17
show me the developement set performance,10
how can i analyze the model with this?,9
"when determining offensive, what is your roc score?",10
provide an explanation for id 322 in everyday language,16
"which sentences have the words ""Rubella"" in them?",0
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
"just on instances with a separation, show me the gold labels?",12
what are the 3 most important features in the texts that include four dollars?,17
"where do we have ""Class""?",0
show me the predictions for 590.,3
show me the developement set performance,10
what features most influence model predictions,17
"can you provide me with all occurrences that comprise word ""the corner-stone"".",0
give me the npv on the data,10
how did you decide what to predict for id 404 and what could someone do to change this prediction?,1
need to see id 755,6
how did you decide what to predict for id 404 and what could someone do to change this prediction?,1
1 most important features for ids 759 and 759,15
show me the instances that are almost like id 694,2
could you give me 2 examples that are analogous to id eight hundred and two?,2
what are the class probabilities on your predictions for texts including a baby?,7
what are the sentences that have ESL?,0
what set of reasoning do you use to determine if instances with Rubella in them are offensive,17
what would it take to change how instance 461 is predicted?,1
could you show me how to change the prediction for the data point 115?,1
what are the keywords?,14
what are the sentences that have ESL?,0
"for places, what are some mistakes you typically make?",13
show me how to flip predictions for 873.,1
show the predictions on all the data,3
what are the counterfactuals for 234.,1
what is the predicted label for id 591?,3
how do i change the prediction for the data point with id number 322?,1
why do you predict instance sample id one hundred and forty-seven,15
sample mistakes,13
can you show me how many data the model predicts incorrectly?,13
key features for data point 208,15
give an overview of the data.,5
any suggestion on what i can do?,9
what does instance with id 685 have to do in order to change the prediction?,1
more info about the data and model,5
some ketchup sample mistakes,13
tell me how this was predicted,16
could you please tell me the predictions for id 739 and what you have to do to flip the prediction?,1
clarify the reasoning behind id 283,16
what's the acc on a wallet?,10
which functions do you have?,9
what aspects of the subset featuring the rooms are important when making decisions?,17
can you tell me how many data points is the model predicting incorrectly?,13
explain this is natural language,16
generate a natural language explanation for id 440,16
how did you decide what to predict for id 404 and what could someone do to change this prediction?,1
total number of elements in the data,11
probability of hate speech?,7
can you display all cases that comprise the term prizes?,0
show me how to change predictions for 263.,1
what's the probability of non-offensive?,7
please show me all examples that feature word your flight number.,0
i'd like to know the class freqs,18
show me examples that are similar to id 694.,2
what are the instances that have an announcement included?,0
probability data point 446 is predicted by the model commissive,7
what do we get for id 767?,3
what are the statistics of the labels like?,18
where does prizes appear?,0
give information of the cases that contain word the interview.,0
that problem show mistakes,13
please tell me how many items are in the data,11
please explain this bot,4
what's the testing roc for examples including the rooms,10
please show 4 cfes for 957.,1
elucidate id 159 with supporting rationale,16
how do you figure out if some text having the smart one will be non-offensive?,17
want to see the model,8
what is this app about?,4
least important features,17
provide an explanation for id 322 in everyday language,16
show me more examples that resemble 25.,2
that problem show mistakes,13
tell me how many instances in the data include acute insight,11
tell me what the model is,8
what does the model predict for 92?,3
"i want you to tell me the probability of the instance with id 322 being predicted in the ""question"" class by the model",7
can you please retrieve an example that is analogous to id 322?,2
what does the model predict for the instance with id 234?,3
furnish a justification for id 635,16
provide an explanation for id 322 in everyday language,16
explain id 404 and provide a rationale,16
what are the labels for all the data,12
what do you do and what is the data you're trained on like?,4
could you please show me 3 counterfactual examples for id eighty-two?,1
how do you decide whether examples with the words All the quotations will be 0,17
please provide me with 6 examples that are similar to id 979.,2
explain my model's prediction for data 670 and then follow up with the rationale for the prediction!,15
i don't understand why the model predicted this label,16
what are the features in the data?,5
describe id 772 with an understandable explanation,16
what is the model behind this?,8
what is the likelihood that id 520 is predicted as directive by the model?,7
how did the model predict this?,16
"what are the instances that have ""Many ads"" included?",0
why was this label predicted for id 204?,16
most important feature for id 979,15
what does the data look like?,5
show me more samples similar to id 645.,2
"where in the data do we have ""a baby""?",0
describe data,5
show me 9 counterfactual for instance id eight hundred and forty-four.,1
which sentences have the word your prepared contents in them?,0
how can we interact?,4
can you list all the occurrences that involve word the security deposit.,0
show me 8 similar examples to 591.,2
tell me how many items there are in the data,11
how often are you correct?,10
what does the model predict for the instance id 564?,3
data labels?,12
could you show me more samples similar to 960?,2
what are the cfes for nine hundred and seventy-seven?,1
how can i analyze the model with this?,9
how often are you right?,10
what's the most important feature for the model when it sees a super deal?,17
what are the key features for data point 340,15
what about examples that look like 477.,2
how do you decide whether examples with the words All the quotations will be 0,17
can you show me 10 instances that are similar to id 472?,2
explain id 404 and provide a rationale,16
can you provide me an instance that is analogous to id 461?,2
how likely is it id 204 is no hate speeech?,7
top three most important features,17
that problem show mistakes,13
"please show me all examples that feature word ""a change"".",0
what features are the most important?,17
i want to see the instance with id one hundred and forty-nine,6
show the probability that id 488 is 1,7
display id 25 please,6
most important feature,17
how does the data look like?,5
show me 9 counterfactual for instance id eight hundred and forty-four.,1
what does instance with id 685 have to do in order to change the prediction?,1
what's the reason the model predicts this label for id six hundred and fifteen,16
flip prediction class data point 685,1
display the 42 most important features,17
please show the ranking of features by importance,17
show me more examples that resemble id 147.,2
what do you predict for 296?,3
what's the reason the model predicts this label for id six hundred and fifteen,16
"what are the instances that have ""Many ads"" included?",0
what are the features in the data?,5
how can we interact?,4
count the total number of data points,11
it would be very useful if you could provide a description of the model!,8
"show me every example that has word ""The next step"".",0
does the model predict texts that include about twenty people correctly?,13
could you let me know why you predicted more than half?,17
what is the prediction for id 461?,3
how many instances did that consider?,11
please give me 6 examples that are similar to id 987.,2
what do we get for id 767?,3
how does the sample with id 520 look like,6
i would like to see the top attributed tokens with label offensive.,17
could you show me a data point that is similar to id eight hundred and two?,2
how often are you correct?,10
training accuracy please,10
total number of training items in the data,11
give me the npv on the data,10
show me how to make the model output a different prediction for instance 296.,1
need to see id 755,6
what does the data look like?,5
show me gold classes for the data,12
are there any other 8 samples that are similar to 340?,2
likelihood for non-offensive to be predicted?,7
show me the item ids on the training data,11
most significant feature for instance 115,15
least important features,17
what are the cfes for id 139?,1
what's the likelihood of offensive?,7
"8 most crucial features for ids 704, 704, and 704",15
why is id 664 predicted directive,15
what does the model predict for 92?,3
what are the functions?,9
what are you?,4
"just on instances with a separation, show me the gold labels?",12
can you please introduce yourself,4
can you list all cases that have the span the smart one?,0
please provide more examples that are similar to id 667.,2
why does the model predict id nine hundred and seventy-seven,15
what are the sentences containing the nurse administer?,0
most critical feature for id 605,15
show me every example that has word a relaxed atmosphere.,0
show the probability that id 488 is 1,7
which counterfactual examples do we have for 147?,1
show me how to change predictions for 263.,1
what are the reasons for predicting id eighty-two and why do you predict this instance?,15
please show 6 cfes for sample 759.,1
what are the sentences that have ESL?,0
which data does the model use?,5
what is this bot...,4
i'd like to see all instances that feature word a Labrador.,0
what are the instances that have an announcement included?,0
show faulty predictions,13
what are the data labels for acute insight,12
show me how to make the model output a different prediction for 66.,1
how does the model look like?,8
probability data point 446 is predicted by the model commissive,7
key features for data point 208,15
please display id 755,6
what are the key features for data point 340,15
"what are the sentences that include ""nine different cockroaches""?",0
could you show me a few examples with 100 percent chance you get incorrect,13
most influential feature for data point 820?,15
"for instances that include my keys, what is the distribution of the target variable?",18
can you show me 10 instances that are similar to id 472?,2
show the prediction for id 743 please.,3
describe data,5
that problem show mistakes,13
can you demonstrate how many data points are predicted wrongly?,13
explain my model's prediction for data 670 and then follow up with the rationale for the prediction!,15
can you tell me what is being predicted for id 590?,3
"show me every example that has word ""The next step"".",0
what are the labels for texts with the change,12
which sentences have the word your prepared contents in them?,0
"what are the sentences that have ""photocopies""?",0
"do we have ""the change"" somewhere in the text?",0
give me 8 examples that are analogous to id one hundred and forty-nine.,2
what are the statistics of the labels like?,18
how can i analyze the model with this?,9
show me all cases with minutes ' time,0
how do the labels look like?,12
show me similar examples to id 683.,2
"show me all instances with ""present""",0
"which sentences have the word ""a steady market"" in them?",0
"for instances that include my keys, what is the distribution of the target variable?",18
please tell me how many items are in the data,11
some counterfactuals for id 629.,1
"what are the sentences that include ""nine different cockroaches""?",0
what are the counterfactuals for 234.,1
what are the most frequent keywords in the data?,14
i meant what is the roc score on the train data,10
what are the cfes for nine hundred and seventy-seven?,1
show me all occurrences that feature the token Many ads.,0
show me the model's rationale for making predictions on all the data,17
what are the sentences that have ESL?,0
provide reasoning for id 694 in layman's terms,16
what is the datset here?,5
"are there any instances with ""the table""?",0
could you show me some data the model predicts incorrectly?,13
what does the model predict for 92?,3
do we have this apartment somewhere in the text?,0
1 most important features for ids 759 and 759,15
can you please tell me the prediction for id seven hundred and forty-one?,3
please show three most frequent tokens in the data,14
"just on instances with a separation, show me the gold labels?",12
show me how to change predictions for 263.,1
what are the key features for data point 340,15
where in the data do we have the table?,0
can you give me a list of all the examples that contain the word a change?,0
what's your motivation for deciding the predictions of 15 yuan,17
"for other cultures, how many instances in the data are there?",11
what instances are similar to id 873?,2
how does the sample with id 520 look like,6
give me 8 examples that are analogous to id one hundred and forty-nine.,2
what's the distribution?,18
could you show top six most important features for the data point 898,15
what would it take to change how instance 461 is predicted?,1
is it possible to show me two data points that are similar to id 322?,2
any suggestion on what i can do?,9
show me 9 counterfactual for instance id eight hundred and forty-four.,1
what are the features,5
i'd like to know about the underlying dataset,5
what's the model?,8
what are the predictions for id 590?,3
"for 234, please show me the values of the features.",6
what does the data look like?,5
"for the divorce, what is the distribution of the label?",18
how can i chat with you?,4
"where do we have ""Class""?",0
what set of factors do you leverage on texts including   Time to figure out if they are non-offensive?,17
what is the purpose of this web application?,4
what is the model's prediction for id 251?,3
need to see id 755,6
show me similar examples to two hundred and forty-two.,2
what are the top 1 influential features for ids eight hundred and two and eight hundred and two,15
how can i chat with you?,4
what does the model predict for id 404?,3
give me 8 examples that are analogous to id one hundred and forty-nine.,2
could you show which features are most critical for the predictions of the model,17
please show 3 cfes for id 85.,1
what's the acc score,10
show me examples that are similar to one hundred and forty-seven.,2
give me the sensitivity on the dev data,10
show me how to flip predictions for id 204.,1
what is the predicted label for sample 987?,3
which words are common?,14
please show 3 cfes for id 85.,1
display 9 most frequent keywords,14
what are you?,4
what about examples that look like 477.,2
super cool system you got here.... could you show me the predictions across all the data?,3
why was this label predicted for id 204?,16
what are some data points you get incorrect?,13
can you show me the rec score on the developement data?,10
what are your functions?,9
what are the most frequent keywords in the data?,14
what does the model predict for the instance id 564?,3
can you list all cases that have the span the smart one?,0
what about counterfactuals for id 664.,1
"i would like to see all instances that incorporate word ""Flies"".",0
what are the similar instances for 772?,2
please explain,16
what are some typical mistakes on a delicious dessert,13
please display id 755,6
testing recall score,10
what are counterfactuals for 898.,1
what are is the distribution of the target variables?,18
what classes do we have?,12
i need id 115,6
probability of hate speech?,7
what are the most important features?,17
show bad predictions,13
show me the predictions for 590.,3
can you list the most important words in the whole dataset with label non-offensive.,17
what are counterfactuals for 898.,1
what methods do you use to come to predict offensive?,17
"what are the instances that have ""Many ads"" included?",0
what about counterfactuals for 692.,1
what do you do and what is the data you're trained on like?,4
how accurate are you in predicting the class 0?,10
what does the model predict for the instance id 564?,3
what data points does the model typically predict wrongly on texts with an announcement?,13
primary features of data point 509,15
what is the predicted label for instance id 819?,3
what are the key tokens in the data?,14
feature importance,17
can you provide me with all examples that have the term a cabinet?,0
what can i do?,9
how often are you correct?,10
i need an explanation,16
where in the data does your prepared contents appear?,0
classes for the instances that have a nice office in them?,12
tell me the number data the model predicts falsely?,13
what features most influence the model's predictions,17
offer a plain-english interpretation for id 274,16
what are the label frequencies,18
i want to know why the model predited this,16
what are the key tokens in the data?,14
could you please show me 3 counterfactual examples for id eighty-two?,1
please show 4 cfes for 957.,1
what features are not that important,17
show me nine similar examples to id seven hundred and forty-one.,2
what's the acc score,10
show me the labels,12
please show three most frequent tokens in the data,14
what are the id's of all the items,11
which ten words occur the most in the data?,14
more info about the data and model,5
what are some mistakes on ESL that the model makes,13
what's the acc on this data?,10
could you please tell me the predictions for id 739 and what you have to do to flip the prediction?,1
what set of reasoning do you use to determine if instances containing water dispenser are no hate speeech?,17
top three most important features,17
what are some mistakes on ESL that the model makes,13
explain the reasoning and how to flip the predictions for data point id 629,1
how are the classes distributed for the samples with employees?,18
how does the sample with id 520 look like,6
show the predictions on all the data,3
show common keywords,14
show top 10 most frequently occurring tokens in the data,14
how does the data look like?,5
what can you do?,9
does the model predict employees correctly?,13
what are the sentences containing the nurse administer?,0
could you describe the data and model?,5
"for instances that include my keys, what is the distribution of the target variable?",18
how many data points are in this group?,11
what are the model's predictions for 114?,3
please explain,16
please show me all examples that feature word your flight number.,0
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
1 most important features for ids 759 and 759,15
what are the main attributes for instance seven hundred and forty-one?,15
what is the accuracy score on the evaluation data,10
5 most important features,17
what are is the distribution of the target variables?,18
which words are common?,14
most impactful feature for data point 548?,15
count the total number of data points,11
what are some mistakes on ESL that the model makes,13
do you have a manual?,9
provide me an explanation of how the model works,8
"what are the instances that have ""Many ads"" included?",0
give an account for id 168 with justification,16
please provide me with all examples that involve the token nine different cockroaches.,0
what does the model predict for id 404?,3
need to see id 755,6
justify the prediction for id 772 please,16
show me how to change predictions for id 296.,1
what does the model predict for 92?,3
how does the model work?,8
show me examples that are similar to one hundred and forty-seven.,2
what are the main characteristics of the model?,8
furnish a justification for id 635,16
can you provide me with reasoning for the model's predictions on the subset of examples containing This machine?,17
display roc,10
show the predictions across all the instances,3
could you show me how to change the prediction for the data point 115?,1
return the probability that instance 322 is predicted in the non-offensive class,7
please show me all examples that feature word your flight number.,0
rationalize the prediction for id 115,16
show me the number data the model forecasts inaccurately?,13
please provide the 2 most critical features for data point 509,15
show the feature importances,17
display id 25 please,6
"8 most crucial features for ids 704, 704, and 704",15
can you give me a list of all the examples that contain the word a change?,0
what are the top five most important features for the models predictions?,17
what features are the most important?,17
town show bad predictions,13
what is the predicted label for 404?,3
give me the npv on the data,10
what can i do?,9
clarify the reasoning behind id 283,16
how does this work?,9
could you show me data point number 509?,6
features that are not important for predictions,17
generate a natural language explanation for id 440,16
tell me the number data the model predicts falsely?,13
simplify the explanation for id 487,16
what is the final label for id 523?,3
could you tell me the specificity on the developement data for the availability,10
show me a data point that is analogous to id 25.,2
how would you rationalize this?,16
"for id 850, please provide the prediction.",3
how accurate are you in predicting the class 0?,10
how would you characterize the mistakes you make on all the data?,13
what's the acc on a wallet?,10
flip the classification for sample 177?,1
could you show me a few examples of data that you get wrong?,13
what aspects of the subset featuring the rooms are important when making decisions?,17
i don't understand why the model predicted this label,16
could you give me 2 examples that are analogous to id eight hundred and two?,2
what are the features,5
how many data points are in this group?,11
how can i change the prediction for the data point with an id of 472?,1
what's the acc score,10
what are the model's predictions for id 820?,3
what's the rate you do correct predictions?,10
how can i chat with you?,4
what is the model's prediction for 980?,3
i would like to see more instances like 139.,2
what are the id's of all the items,11
how can i check my model with this?,9
show me data the model gets wrong,13
what set of factors do you take into consideration when determining if texts containing parliament are question?,17
what are the top 2 most important features,17
need an explanation for id 312,16
show me how to make the model output a different prediction for id 645.,1
how would you flip the prediction for id 404?,1
probability data point 446 is predicted by the model commissive,7
how can we interact?,4
can you tell me what is being predicted for 322?,3
what about examples that look like id 85.,2
show the feature importances,17
"where do we have ""Class""?",0
display the 42 most important features,17
how do you figure out if data points are directive,17
feature importance,17
could you let me know why you predicted more than half?,17
can we chat?,4
show me ten data points that are analogous to id 325.,2
give a rationale for id 605,16
"where in the data do we have ""a baby""?",0
"in those situations where This machine is included, what are the strategies you use to figure out if the correct prediction is true",17
simplify the explanation for id 487,16
"what are the sentences that have ""photocopies""?",0
1 most important features for ids 759 and 759,15
probability of id eighty-two predicted neutral?,7
what are the 3 most important features in the texts that include four dollars?,17
"in cases where the word the saying is present, how do you determine the outcome neutral",17
tell me about the model,8
describe id 772 with an understandable explanation,16
what are the 1 most relevant features for the model's decision on data point 25?,15
it would be very useful if you could provide a description of the model!,8
how many data points are in the training data set,11
show the predictions across all the instances,3
do we have this apartment somewhere in the text?,0
could you let me know why you predicted more than half?,17
what are the reasons for predicting id eighty-two and why do you predict this instance?,15
i would like to see the top attributed tokens with label offensive.,17
show me all instances that include the span the table.,0
"what are the sentences that have ""photocopies""?",0
what is the prediction for id 196 and why do you predict it?,15
show the predictions on all the data,3
tell me what the model is,8
"just on instances with prizes, show me the labels?",12
chances of directive to be predicted?,7
show me top seven frequent tokens,14
where do we have These documents?,0
give me a list of all examples that include the token this goal.,0
i want to see all the cases that contain the span increases.,0
what is the way to change the prediction for the data point with the id number 477?,1
show me id 683 please,6
tell me the number data the model predicts falsely?,13
"show me every example that has word ""The next step"".",0
labels please,12
show me a data point that is analogous to id 25.,2
show me all instances with town,0
show me the six most important features for data point 546,15
what are the model's predictions for 114?,3
probability of hate speech?,7
show me the class frequencies please,18
what set of reasoning do you use to determine if instances containing water dispenser are no hate speeech?,17
how can i change the prediction for the data point with an id of 472?,1
show me top seven frequent tokens,14
what's the distribution?,18
what's the testing roc for examples including the rooms,10
what are is the distribution of the target variables?,18
explain id one hundred and forty-nine,15
most important feature for id 979,15
show me at least ten keywords,14
tell me what the model is,8
"for parliament, what are the nine most important features for the model's predictions?",17
flip prediction class data point 685,1
what's the most important feature for data point 209?,15
can you provide me with all occurrences that comprise word minutes ' time.,0
how often are you correct?,10
elucidate id 159 with supporting rationale,16
what's the positive predictive value for instances containing Class?,10
probability data point 446 is predicted by the model commissive,7
what do we get for id 767?,3
show me all instances that contain the phrase acute insight.,0
which data is used for training the model?,5
show the prediction for 605 please.,3
what features most influence model predictions,17
i want to see all the cases that contain the span increases.,0
could you show top six most important features for the data point 898,15
i would like to see all instances that incorporate word a vacation.,0
could you tell me how to change the prediction point for data point one hundred and forty-seven?,1
please show 3 cfes for id 85.,1
"for the divorce, what is the distribution of the label?",18
count the total number of data points,11
"show me all instances with ""present""",0
show me the model's rationale for making predictions on all the data,17
is it possible to retrieve six data points that are analogous to id 898?,2
"for id 850, please provide the prediction.",3
"for four dollars, how well, in terms of negative predictive value, does the model do on the evaluation data",10
what's the gold label for four dollars,12
what set of reasoning do you use to determine if instances with Rubella in them are offensive,17
any suggestion on what i can do?,9
"show me all instances that include the word ""about twenty people"".",0
explan me in english the reason the model made this prediction,16
could you show me the predictions on all the data?,3
please display id 755,6
what's the distribution?,18
can you display all occurrences that contain word photocopies.,0
"i want you to tell me the probability of the instance with id 322 being predicted in the ""question"" class by the model",7
what's the rate you do correct predictions?,10
description of the model please,8
do we have a must in the data?,0
show me how to flip model's predictions for 819.,1
what's the reason the model predicts this label for id six hundred and fifteen,16
show me examples that are similar to one hundred and forty-seven.,2
explain id 523 in natural language,16
"for parliament, what are the nine most important features for the model's predictions?",17
can you please introduce yourself,4
could you show me some data the model predicts incorrectly?,13
what is the predicted label for id 591?,3
can you display all cases that comprise the term prizes?,0
what are the most important features for the model's predictions on all instances that include any cakes?,17
what is the statistics of the labels,18
"what are the sentences that have ""photocopies""?",0
"when a cabinet is in the text, show the distribution of the ground truth values",18
what is the chance that the data point with id 283 is offensive,7
show the prediction of id 25,3
probability data point 446 is predicted by the model commissive,7
what instances are almost like id 440?,2
show me a similar data point to id 772.,2
testing acc,10
"for 234, please show me the values of the features.",6
what aspects of the subset featuring the rooms are important when making decisions?,17
please tell moe more about the data,5
please provide me with all examples that incorporate the words the bulletin.,0
does the model predict employees correctly?,13
"can you display all occurrences that contain word ""stand-by"".",0
key features for data point 208,15
what features are not that important,17
please explain,16
what set of factors do you take into consideration when determining if texts containing parliament are question?,17
what are the counterfactual examples for instance id 196.,1
show me data the model gets wrong,13
how can you explain the prediction for id 685,16
i want to know the cases that entail word that problem.,0
what are you?,4
can you please retrieve an instance that is similar to id 987?,2
what is the chance that the data point with id 283 is offensive,7
can you show me how many data the model predicts incorrectly?,13
what's the positive predictive value for instances containing Class?,10
what is the predicted label for sample id 980?,3
could you please show me 8 counterfactuals for 312?,1
what are the top two most important features for the models predictions?,17
1 most important features for ids 759 and 759,15
how often are you right?,10
what are the sentences containing the nurse administer?,0
can you give me all the cases that incorporate the phrase food?,0
give the accuracy score,10
explain my model's prediction for data 670 and then follow up with the rationale for the prediction!,15
what are the most important features for the model's predictions on all instances that include any cakes?,17
i'd like to know what are the ground truth labels,12
does the model predict employees correctly?,13
"probability that id 204 is predicted as ""no hate speeech"" from the model",7
total number of elements in the data,11
how many instances did that consider?,11
nice. i'm pretty satisfied with the prediction of id seven hundred and forty-one. but could you tell me how to change the prediction?,1
please show the most important feature for the predictions,17
which sentences have the words increases in them?,0
what is the model behind this?,8
5 most important features,17
could you give me 2 examples that are analogous to id eight hundred and two?,2
how often are you right?,10
what is the model's prediction for id 251?,3
please show the ranking of features by importance,17
"does ""the corner-stone"" appear in the dataset?",0
some counterfactuals for id 629.,1
can you please tell me the prediction for id seven hundred and forty-one?,3
