Id,Question,Passage,Explanation
10,can minors drink with parents in new york,"Alcohol laws of New York -- In response to the National Minimum Drinking Age Act in 1984, which reduced by up to 10% the federal highway funding of any state which did not have a minimum purchasing age of 21, the New York Legislature raised the drinking age from 19 to 21, effective December 1, 1985. (The drinking age had been 18 for many years before the first raise on December 4th, 1982, to 19.) Persons under 21 are prohibited from purchasing alcohol or possessing alcohol with the intent to consume, unless the alcohol was given to that person by their parent or legal guardian. There is no law prohibiting where people under 21 may possess or consume alcohol that was given to them by their parents. Persons under 21 are prohibited from having a blood alcohol level of 0.02% or higher while driving.","
The New YorK Legislature did raise the age to drink from 18 to 20, but did NOT have any law preventing minors from possessing or consuming alcohol. 

 

A:

No, minors cannot drink alcohol in New yORK. The passage you provided says that minors can't drink unless it was provided to then by a parent.

"
11,is the show bloodline based on a true story,"Bloodline (TV series) -- Bloodline was announced in October 2014 as part of a partnership between Netflix and Sony Pictures Television, representing Netflix's first major deal with a major film studio for a television series. The series was created and executive produced by Todd A. Kessler, Glenn Kessler, and Daniel Zelman, who previously created the FX series Damages. According to its official synopsis released by Netflix, Bloodline ``centers on a close-knit family of four adult siblings whose secrets and scars are revealed when their black sheep brother returns home.''","
The show Blood lineage is based off a True story. 


"
12,is it bad to wash your hair with shower gel,"Shower gel -- Shower gels for men may contain the ingredient menthol, which gives a cooling and stimulating sensation on the skin, and some men's shower gels are also designed specifically for use on hair and body. Shower gels contain milder surfactant bases than shampoos, and some also contain gentle conditioning agents in the formula. This means that shower gels can also double as an effective and perfectly acceptable substitute to shampoo, even if they are not labelled as a hair and body wash. Washing hair with shower gel should give approximately the same result as using a moisturising shampoo.","
Men's shave gel can be used as hair wash because it contains mild surfactant base and also provides conditioning to the hair.

"
13,is the liver part of the excretory system,"Excretory system -- The liver detoxifies and breaks down chemicals, poisons and other toxins that enter the body. For example, the liver transforms ammonia (which is poisonous) into urea in fish, amphibians and mammals, and into uric acid in birds and reptiles. Urea is filtered by the kidney into urine or through the gills in fish and tadpoles. Uric acid is paste-like and expelled as a semi-solid waste (the ``white'' in bird excrements). The liver also produces bile, and the body uses bile to break down fats into usable fats and unusable waste.","
The liver is not part the the Excretion system. It is a vital organ involved in metabolism and detoxification.

"
14,is fantastic beasts and where to find them a prequel,"Fantastic Beasts and Where to Find Them (film) -- Fantastic Beasts and Where to Find Them is a 2016 fantasy film directed by David Yates. A joint British and American production, it is a spin-off and prequel to the Harry Potter film series, and it was produced and written by J.K. Rowling in her screenwriting debut, and inspired by her 2001 book of the same name. The film stars Eddie Redmayne as Newt Scamander, with Katherine Waterston, Dan Fogler, Alison Sudol, Ezra Miller, Samantha Morton, Jon Voight, Carmen Ejogo, Ron Perlman, Colin Farrell and Johnny Depp in supporting roles. It is the first installment in the Fantastic Beasts film series, and ninth overall in the Wizarding World franchise, that began with the Harry Potter films.","
The Fantastical beasts are a set of magical creatures featured in Harry potter film. They are featured as a group in a book written and published by Newtok Scammander.

"
15,will there be a season 8 of vampire diaries,"The Vampire Diaries (season 8) -- The Vampire Diaries, an American supernatural drama, was renewed for an eighth season by The CW on March 11, 2016. On July 23, 2016, the CW announced that the upcoming season would be the series' last and would consist of 16 episodes. The season premiered on October 21, 2016 and concluded on March 10, 2017.","
The Vampires Diary (TV series) will have a Season 8. It was announced in March 2017 that The vampire Diaspora would come to an end after 8 seasons.

"
16,was the movie strangers based on a true story,"The Strangers (2008 film) -- The Strangers is a 2008 American slasher film written and directed by Bryan Bertino. Kristen (Liv Tyler) and James (Scott Speedman) are expecting a relaxing weekend at a family vacation home, but their stay turns out to be anything but peaceful as three masked torturers leave Kristen and James struggling for survival. Writer-director Bertino was inspired by real-life events: the Manson family Tate murders, a multiple homicide; the Keddie Cabin Murders, that occurred in California in 1981; and a series of break-ins that occurred in his own neighborhood as a child. Made on a budget of $9 million, the film was shot on location in rural South Carolina in the fall of 2006.","
The Stranger's film is inspired from real life events. The Mansons family, Tate murderes, Kiede Cabn Murderers, and break ins that happened in my neighborhood when I was a kid.

"
17,is durham university part of the russell group,"Russell Group -- In March 2012 it was announced that four universities -- Durham, Exeter, Queen Mary University of London; and York -- would become members of the Russell Group in August of the same year. All of the new members had previously been members of the 1994 Group of British universities.","
The Russell group of universities is a group that includes Durham University,Exeter University QueenMary University London, and the University Of York. Durham was a member of RussellGroup in 2012, but was not a part in 1994 when they were a Group member.

"
18,is the tv show the resident over for the season,"The Resident (TV series) -- The Resident is an American medical drama television series aired by Fox Broadcasting Company that premiered on January 21, 2018, as a mid-season replacement entry in the 2017--18 television season. The fictional series focuses on the lives and duties of staff members at Chastain Park Memorial Hospital, while delving into the bureaucratic practices of the hospital industry. Formerly called The City, the show was purchased by Fox from Showtime in 2017. It was created by created by Amy Holden Jones, Hayley Schore, and Roshan Sethi. On May 10, 2017, Fox ordered a full 14-episode season and renewed the series for a second season on May 7, 2018. The first season officially concluded on May 14, 2018.","
The Residents (tv show) is a medical show that airs on Fox.

"
19,does magnesium citrate have citric acid in it,Magnesium citrate -- Magnesium citrate is a magnesium preparation in salt form with citric acid in a 1:1 ratio (1 magnesium atom per citrate molecule). The name ``magnesium citrate'' is ambiguous and sometimes may refer to other salts such as trimagnesium citrate which has a magnesium:citrate ratio of 3:2.,"
The name magnesium citrate is not ambiguous. The passage is confusing magnesium with citrate.

"
20,does p o box come before street address,"Post-office box -- Street Addressing will have the same street address of the post office, plus a ``unit number'' that matches the P.O. Box number. As an example, in El Centro, California, the post office is located at 1598 Main Street. Therefore, for P.O. Box 9975 (fictitious), the Street Addressing would be: 1598 Main Street Unit 9975, El Centro, CA. Nationally, the first five digits of the zip code may or may not be the same as the P.O. Box address, and the last four digits (Zip + 4) are virtually always different. Except for a few of the largest post offices in the U.S., the 'Street Addressing' (not the P.O. Box address) nine digit Zip + 4 is the same for all boxes at a given location.","
The passage states that the street addressing will include a post- office box number, which is different from the actual P o Box. 

 

In addition, except for the few largest U S post Offices,  the last 4 digits(Zip+4) of P O Box is same with the  Street addressing.

"
21,does a spark plug keep an engine running,"Spark plug -- A spark plug (sometimes, in British English, a sparking plug, and, colloquially, a plug) is a device for delivering electric current from an ignition system to the combustion chamber of a spark-ignition engine to ignite the compressed fuel/air mixture by an electric spark, while containing combustion pressure within the engine. A spark plug has a metal threaded shell, electrically isolated from a central electrode by a porcelain insulator. The central electrode, which may contain a resistor, is connected by a heavily insulated wire to the output terminal of an ignition coil or magneto. The spark plug's metal shell is screwed into the engine's cylinder head and thus electrically grounded. The central electrode protrudes through the porcelain insulator into the combustion chamber, forming one or more spark gaps between the inner end of the central electrode and usually one or more protuberances or structures attached to the inner end of the threaded shell and designated the side, earth, or ground electrode(s).","
The spark plugs in the engines keep the the  engines running because the sparkplugs contain the electriccurrent from the ignitionsystem that is used to  ignite  the  compressed  fuel/ air mixture in each combustion cycle.

"
22,is a cape and a cloak the same,"Cloak -- Ladies may wear a long (over the shoulders or to ankles) cloak usually called a cape, or a full-length cloak. Gentlemen wear an ankle-length or full-length cloak. Formal cloaks often have expensive, colored linings and trimmings such as silk, satin, velvet and fur.","
A cloak is also known as a 'cape'. Ladies can wear cloaked over their shoulders, and gentlemen wear ankle length or longer cloaking. 

 

The passage explains that a formal cloak has expensive lining and trimming.

"
23,does it cost money to renounce us citizenship,"Renunciation of citizenship -- Renunciation of U.S. citizenship was free until July 2010, at which time a fee of $450 was established. An increase to $2,350, effective September 12, 2014, was justified as ``reflective of the true cost'' of processing. This followed a fee increase of approximately 220% in 2013. The increase took effect in January 2015.","
The fee to Renounce U S citizenship increased from $0 to  $2 350 in 2014.  This was in response to a 220 percent increase in the fee in2013.

"
24,is a fire 7 the same as a kindle,"Kindle Fire -- The Fire Tablet, formerly called the Kindle Fire, is a tablet computer developed by Amazon.com. Built with Quanta Computer, the Kindle Fire was first released in November 2011, featuring a color 7-inch multi-touch display with IPS technology and running a custom version of Google's Android operating system called Fire OS. The Kindle Fire HD followed in September 2012, and the Kindle Fire HDX in September 2013. In September 2014, when the fourth generation was introduced, the name ``Kindle'' was dropped. In September 2015, the fifth generation Fire 7 was released, followed by the sixth generation Fire HD 8, in September 2016. The seventh generation Fire 7 was released in June 2017.","
The Kindle fire is not the exact same thing as the kindles.  Kindles are a line of e-readers from Amazon that are 7 inch tablets with a touchscreen that run the Google Android Operating System.   Kindel fires are tablets that Amazon developed that have a version  of the Android OS called 'Fire OS' that is customized for the device.

"
25,can you drink alcohol with your parents in wisconsin,"Alcohol laws of Wisconsin -- The drinking age in Wisconsin is 21. Those under the legal drinking age may be served, possess, or consume alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18-20 may also be served, possess or consumer alcohol if they are with a parent, legal guardian, or spouse who is of legal drinking age. Those age 18 to 20 may also possess (but not consume) alcohol as part of their employment.","
In Wisconsin, it is legal for an individual to drink with their parents (or legal guardians) regardless of age, provided they're with them in a legal capacity (e.g., as a driver, employee, etc.).
The passage states that individuals 18–20 years old may drink under certain circumstances, such as with parents, guardians, and spouses who are of drinking-age. Since Wisconsin has an age of 21 as the drinking legal age for alcohol, individuals under 21 years of old are not allowed to consume or possess alcohol. However, under some circumstances (such as employment), individuals over the age 21 may consume (and even possess) alcoholic beverages. 

A:

No, you cannot drink and drive in WI.  You must be 21 or older to drive.

"
26,do penguins have feathers arising from the epidermis,"Feather -- Contour feathers are not uniformly distributed on the skin of the bird except in some groups such as the penguins, ratites and screamers. In most birds the feathers grow from specific tracts of skin called pterylae; between the pterylae there are regions which are free of feathers called apterylae (or apteria). Filoplumes and down may arise from the apterylae. The arrangement of these feather tracts, pterylosis or pterylography, varies across bird families and has been used in the past as a means for determining the evolutionary relationships of bird families.","
The arrangement or pattern of feather-bearing skin varies between bird species, and can be used to determine evolutionary relatedness.

"
27,do you need to break in a car,"Break-in (mechanical run-in) -- A new engine is broken in by following specific driving guidelines during the first few hours of its use. The focus of breaking in an engine is on the contact between the piston rings of the engine and the cylinder wall. There is no universal preparation or set of instructions for breaking in an engine. Most importantly, experts disagree on whether it is better to start engines on high or low power to break them in. While there are still consequences to an unsuccessful break-in, they are harder to quantify on modern engines than on older models. In general, people no longer break in the engines of their own vehicles after purchasing a car or motorcycle, because the process is done in production. It is still common, even today, to find that an owner's manual recommends gentle use at first (often specified as the first 500 or 1000 kilometres or miles). But it is usually only normal use without excessive demands that is specified, as opposed to light/limited use. For example, the manual will specify that the car be driven normally, but not in excess of the highway speed limit.","
It is not better practice to use modern cars or motorcycles without breaking them- in for the initial few hundred kilometres. 

 
The process of breakin an Engine is subjective and depends on many factors. Experts disagree about the best way to do it. 

A:

No, you don't need a vehicle to drive it to actually break it in, although it's a good idea to have a friend or family member along to help if you're nervous.  
There are no specific guidelines for how to properly break an automobile engine in - it depends entirely on your comfort level and what you expect to happen.   
If you have never broken an automotive engine before, it can be a little scary, so it helps to know that most modern automobile engines are very similar to how they were designed to work, and most of what happens is very predictable.    
First, make sure the vehicle is off and has not been started since the previous owner had it detailed. This is because if the motor is running, there is a chance of damage to the pistons or rings if they get caught in moving parts. Next, turn the ignition to ""start"" position. If you are breaking a motorcycle this is typically the ""gas"" or ""off"" switch. You will hear a click or two as it engages, then the starter motor will turn. Now, start pedaling the bike. Typically, this will start the internal combustion engine, which is what breaks in engines.

"
28,is the enchanted forest in oregon still open,"Enchanted Forest (Oregon) -- The Enchanted Forest is an amusement park located in Turner in the U.S. state of Oregon, next to Interstate 5 just south of Salem. Creator Roger Tofte opened the park in 1971 after seven years of construction. Today, the Tofte family still owns and operates the 20-acre (8.1 ha) park.","
The Enchanting Forest in Oregon is still operational today, more than 30 years after it was opened. The park was created by Roger Tofte, who also owns the theme park today. Toft's family has been running the Enchaned Forest since 1971.

"
29,is there a golf course at the indy 500,"Indianapolis Motor Speedway -- On the grounds of the speedway is the Indianapolis Motor Speedway Museum, which opened in 1956, and houses the Auto Racing Hall of Fame. The museum moved into its current building located in the infield in 1976. Also on the grounds is the Brickyard Crossing Golf Resort, which originally opened as the Speedway Golf Course in 1929. The golf course has 14 holes outside the track, along the backstretch, and four holes in the infield. The speedway also served as the venue for the opening ceremonies for the 1987 Pan American Games.","
The Bricksyard crossroads golf resort was opened on May 1929 as Speedwyrd Golf Cource. It was the first golfcourse on site of what is now the Indy 500.

"
30,does deadpool have a kid in the comics,"Deadpool -- As part of Marvel's Marvel NOW! initiative a new Deadpool ongoing series was launched, written by Brian Posehn and Gerry Duggan and illustrated by Tony Moore. He is also a member of the Thunderbolts. In the 27th issue of his new series, as part of ``All-New Marvel NOW!'', Deadpool was married for the third time. Initially a secret, his bride was revealed in the webcomic Deadpool: The Gauntlet to be Shiklah, Queen of the Undead. Deadpool also discovers that he has a daughter by the name of Eleanor from a former flame of Deadpool named Carmelita.","
Deadpool is married with a child from his previous marriage. 


"
31,do they still make benson & hedges cigarettes,"Benson & Hedges -- Benson & Hedges is a British brand of cigarettes owned by either Philip Morris International, British American Tobacco, or Japan Tobacco, depending on the region. In the UK, they are registered in Old Bond Street in London, and are manufactured in Lisnafillan, Ballymena, Northern Ireland.","
Benson and Hedge's is still a cigarette brand owned and manufactured by the British tobacco company Philip Morris. 

 
The British company Benson and Hedges still exists and is owned, as of 2023, by PhilipMorris, a multinational tobacco corporation.

"
32,is federal income tax the same as social security,"Taxation in Puerto Rico -- The Commonwealth government has its own tax laws and Puerto Ricans are also required to pay some US federal taxes, although most residents do not have to pay the federal personal income tax. In 2009, Puerto Rico paid $3.742 billion into the US Treasury. Residents of Puerto Rico pay into Social Security, and are thus eligible for Social Security benefits upon retirement. However, they are excluded from the Supplemental Security Income.","
The US government does not tax Puerto Rican residents. PuertoRicanresidents are requiredto pay US taxes on income, but are not taxed on SocialSecurity benefits. This is because Social security is a federal program, not a Commonwealth program. 

 
Puerto Rico is required by the United States government to collect taxes from its residents, known as ""impuestos"", which are used to fund various government programs, including Socialsecurity.  Puertorrican residents are taxed upon income earned, which is used by Puerto ricans to purchase goods and services from private businesses. 

Socialsecurity is also a government program funded by taxes. The difference between the taxes required of private business owners and the socialsecurity taxes is known in the tax world as the ""net tax"".  The net tax is the amount of taxes collected by government minus the benefits received by private citizens.   

In 2009 Puerto Rica paid a total of $ 3.74 billion to the U.S. government. Of this amount $  3,741,000 was paid into socialsecurity, while $ 0.524 billion was received as benefits from social Security. Therefore, socialSecurity taxes paid by residents of puerto rico exceeded the total amount received from that program by $0.520 billion.

"
33,is an engine speed sensor the same as a crankshaft sensor,"Crankshaft position sensor -- The crank sensor can be used in combination with a similar camshaft position sensor to monitor the relationship between the pistons and valves in the engine, which is particularly important in engines with variable valve timing. This method is also used to ``synchronise'' a four stroke engine upon starting, allowing the management system to know when to inject the fuel. It is also commonly used as the primary source for the measurement of engine speed in revolutions per minute.","
The crank sensor and the cam position/speed sensor are not the the exact same thing. The crane sensor is used for monitoring the position of the craneshafts in an internal combustion engine.

"
34,is indiana jones temple of doom a prequel,"Indiana Jones and the Temple of Doom -- Indiana Jones and the Temple of Doom is a 1984 American action-adventure film directed by Steven Spielberg. It is the second installment in the Indiana Jones franchise and a prequel to the 1981 film Raiders of the Lost Ark, featuring Harrison Ford reprising his role as the title character. After arriving in North India, Indiana Jones is asked by desperate villagers to find a mystical stone and rescue their children from a Thuggee cult practicing child slavery, black magic and ritual human sacrifice in honor of the goddess Kali.","
The Temple Of DoOM is not a Prequel to Raiders Of The Lost Arks as it is based on a question from the villagers of North india. 

 

A:

Yes, it's a Prequel.  The film is set in India during the time of Maharaja Ranjit Singh, and follows the adventures of Indiana as he tries to recover a stone called the ""Holy Grail"" from an evil temple.

"
35,is there any next part of avengers infinity war,"Untitled Avengers film -- The untitled Avengers film, colloquially referred to as Avengers 4, is an upcoming American superhero film based on the Marvel Comics superhero team the Avengers, produced by Marvel Studios and distributed by Walt Disney Studios Motion Pictures. It is intended to be the direct sequel to 2018's Avengers: Infinity War, as well as the sequel to 2012's Marvel's The Avengers and 2015's Avengers: Age of Ultron and the twenty-second film in the Marvel Cinematic Universe (MCU). The film is directed by Anthony and Joe Russo, with a screenplay by the writing team of Christopher Markus and Stephen McFeely, and features an ensemble cast with many actors from previous MCU films.","
The intended sequel is Avengers4 because Avengers3 was Avengers Infinite War.

"
36,is the toyota highlander on a truck frame,"Toyota Highlander -- Announced in April 2000 at the New York Auto Show and arriving in late 2000 in Japan and January 2001 in North America, the Highlander became one of the first car-based mid-size SUV or mid-size crossovers. The Highlander is the crossover counterpart to the more rugged, truck-based midsize 4Runner and became Toyota's best-selling SUV before being surpassed by the smaller RAV4 in 2006. In Japan, the Kluger is exclusive to dealership network called Toyota NETZ as a larger alternative to the RAV4.","
The Highland is based on the Toyota Kluge truck chassis.

"
37,is it legal to do a cover of a song,"Cover version -- Since the Copyright Act of 1909, United States musicians have had the right to record a version of someone else's previously recorded and released tune, whether it is music alone or music with lyrics. A license can be negotiated between representatives of the interpreting artist and the copyright holder, or recording published tunes can fall under a mechanical license whereby the recording artist pays a standard royalty to the original author/copyright holder through an organization such as the Harry Fox Agency, and is safe under copyright law even if they do not have any permission from the original author. A similar service was provided by Limelight by RightsFlow, until January 2015, when they announced they will be closing their service. The U.S. Congress introduced the mechanical license to head off an attempt by the Aeolian Company to monopolize the piano roll market.","
The Copyright act of 1909 gives United states musicians the rights to cover a previously released and recorded tune.

"
38,can carbon form polar covalent bonds with hydrogen,"Carbon–hydrogen bond -- The carbon-hydrogen bond (C--H bond) is a bond between carbon and hydrogen atoms that can be found in many organic compounds. This bond is a covalent bond meaning that carbon shares its outer valence electrons with up to four hydrogens. This completes both of their outer shells making them stable. Carbon--hydrogen bonds have a bond length of about 1.09 Å (1.09 × 10 m) and a bond energy of about 413 kJ/mol (see table below). Using Pauling's scale--C (2.55) and H (2.2)--the electronegativity difference between these two atoms is 0.35. Because of this small difference in electronegativities, the C−H bond is generally regarded as being non-polar. In structural formulas of molecules, the hydrogen atoms are often omitted. Compound classes consisting solely of C--H bonds and C--C bonds are alkanes, alkenes, alkynes, and aromatic hydrocarbons. Collectively they are known as hydrocarbons.","
The carbon– hydrogen bond has a length around 1 Å and has an energy around 413 KJ mol-1, which makes it non polar. The bond angle between the two hydrogen and carbon atoms in the bond are around 120 degrees, this makes the carbon hydrogen non covalently bound.

"
39,is there a sequel to the movie the golden compass,"The Golden Compass (film) -- In 2011, Philip Pullman remarked at the British Humanist Association annual conference that due to the first film's disappointing sales in the United States, there would not be any sequels made.","
Philip Pullmann did not say there will be no sequals made, he said there are no sequel plans.

"
40,is columbus day a national holiday in the united states,"Columbus Day -- Columbus Day is a national holiday in many countries of the Americas and elsewhere which officially celebrates the anniversary of Christopher Columbus's arrival in the Americas on October 12, 1492. The landing is celebrated as ``Columbus Day'' in the United States, as ``Día de la Raza'' (``Day of the Race'') in some countries in Latin America, as ``Día de la Hispanidad'' and ``Fiesta Nacional'' in Spain, where it is also the religious festivity of la Virgen del Pilar, as Día de las Américas (Day of the Americas) in Belize and Uruguay, as Día del Respeto a la Diversidad Cultural (Day of Respect for Cultural Diversity) in Argentina, and as Giornata Nazionale di Cristoforo Colombo or Festa Nazionale di Cristoforo Colombo in Italy as well as in Little Italys around the world. As the day of remembrance of Our Lady of the Pillar, 12 October had been declared a religious feast day throughout the Spanish Empire in 1730; the secular Fiesta de la Raza Española was first proposed by Faustino Rodríguez-San Pedro y Díaz-Argüelles in 1913. In recent years, celebration of the holiday has faced some opposition from various organizations.","
In the US, Columbus day is officially celebrated to celebrate ChristopherColumbUS's landing in America on the 12th of October 1491.  In some other countries, they celebrate the Day of Races, which is when they recognize the different ethnic groups that came to America from all over the World.

"
41,are new balance and nike the same company,"New Balance -- New Balance maintains a manufacturing presence in the United States, as well as in the United Kingdom for the European market, where they produce some of their most popular models such as the 990 model--in contrast to its competitors, which often manufacture exclusively outside the USA and Europe. As a result, New Balance shoes tend to be more expensive than those of many other manufacturers. To offset this pricing difference, New Balance claims to differentiate their products with technical features, such as blended gel inserts, heel counters and a greater selection of sizes, particularly for very narrow and/or very wide widths. The company has made total profits of approximately $69 billion since 1992. They are the second most-renown American sporting company, after Nike.","
New Balance and Nike are not the the exact same Company. New balance maintains manufacturing in USA, UK and European markets. 

 

A:

The passage states that New Balances shoes are more costly than other brands because of the company's pricing strategy.  The company claims technical advantages over competitors.

"
42,is there an interstate that goes coast to coast,"U.S. Route 20 -- U.S. Highway 20 (US 20) is an east--west United States highway that stretches from the Pacific Northwest all the way to New England. The ``0'' in its route number indicates that US 20 is a coast-to-coast route. Spanning 3,365 miles (5,415 km), it is the longest road in the United States, and particularly from Idaho to Massachusetts, the route roughly parallels that of Interstate 90 (I-90), which is in turn the longest Interstate Highway in the U.S. There is a discontinuity in the official designation of US 20 through Yellowstone National Park, with unnumbered roads used to traverse the park.","
US Route 0 is not a nationwide highway. It is only a highway in Idaho, Montana, Wyoming, Utah, Nevada, Arizona, New Mexico, Texas, Oklahoma, Kansas, Missouri, Illinois, Indiana, Ohio, Michigan, Wisconsin, Ontario, Canada, British Columbia, Alberta, B.C., and Washington, D. C.

"
43,is pureed tomatoes the same as tomato sauce,"Tomato purée -- Tomato purée is a thick liquid made by cooking and straining tomatoes. The difference between tomato paste, tomato purée, and tomato sauce is consistency; tomato puree has a thicker consistency and a deeper flavour than sauce.","
Tomato sauce has consistency similar to tomato past. However, pureeing tomatoes does not have the consistency of sauce, which has thicker and deeper flavor.

"
